"Step","Absolute Mode - rollout/ep_rew_mean","Absolute Mode - rollout/ep_rew_mean__MIN","Absolute Mode - rollout/ep_rew_mean__MAX","Relative Mode - rollout/ep_rew_mean","Relative Mode - rollout/ep_rew_mean__MIN","Relative Mode - rollout/ep_rew_mean__MAX"
"172","0.3801666498184204","0.3801666498184204","0.3801666498184204","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"173","0.3801666498184204","0.3801666498184204","0.3801666498184204","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"174","0.3801666498184204","0.3801666498184204","0.3801666498184204","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"175","0.37071341276168823","0.37071341276168823","0.37071341276168823","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"176","0.37071341276168823","0.37071341276168823","0.37071341276168823","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"177","0.37071341276168823","0.37071341276168823","0.37071341276168823","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"178","0.37071341276168823","0.37071341276168823","0.37071341276168823","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"179","0.37071341276168823","0.37071341276168823","0.37071341276168823","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"180","0.37071341276168823","0.37071341276168823","0.37071341276168823","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"181","0.37071341276168823","0.37071341276168823","0.37071341276168823","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"182","0.37071341276168823","0.37071341276168823","0.37071341276168823","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"183","0.37071341276168823","0.37071341276168823","0.37071341276168823","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"184","0.37071341276168823","0.37071341276168823","0.37071341276168823","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"185","0.37071341276168823","0.37071341276168823","0.37071341276168823","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"186","0.37071341276168823","0.37071341276168823","0.37071341276168823","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"187","0.42216697335243225","0.42216697335243225","0.42216697335243225","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"188","0.42216697335243225","0.42216697335243225","0.42216697335243225","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"189","0.42216697335243225","0.42216697335243225","0.42216697335243225","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"190","0.42216697335243225","0.42216697335243225","0.42216697335243225","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"191","0.42216697335243225","0.42216697335243225","0.42216697335243225","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"192","0.42216697335243225","0.42216697335243225","0.42216697335243225","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"193","0.42216697335243225","0.42216697335243225","0.42216697335243225","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"194","0.42216697335243225","0.42216697335243225","0.42216697335243225","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"195","0.42216697335243225","0.42216697335243225","0.42216697335243225","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"196","0.42216697335243225","0.42216697335243225","0.42216697335243225","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"197","0.42216697335243225","0.42216697335243225","0.42216697335243225","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"198","0.42216697335243225","0.42216697335243225","0.42216697335243225","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"199","0.46466273069381714","0.46466273069381714","0.46466273069381714","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"200","0.46466273069381714","0.46466273069381714","0.46466273069381714","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"201","0.46466273069381714","0.46466273069381714","0.46466273069381714","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"202","0.46466273069381714","0.46466273069381714","0.46466273069381714","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"203","0.46466273069381714","0.46466273069381714","0.46466273069381714","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"204","0.46466273069381714","0.46466273069381714","0.46466273069381714","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"205","0.46466273069381714","0.46466273069381714","0.46466273069381714","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"206","0.46466273069381714","0.46466273069381714","0.46466273069381714","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"207","0.46466273069381714","0.46466273069381714","0.46466273069381714","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"208","0.46466273069381714","0.46466273069381714","0.46466273069381714","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"209","0.46466273069381714","0.46466273069381714","0.46466273069381714","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"210","0.4634542167186737","0.4634542167186737","0.4634542167186737","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"211","0.4634542167186737","0.4634542167186737","0.4634542167186737","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"212","0.4634542167186737","0.4634542167186737","0.4634542167186737","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"213","0.4634542167186737","0.4634542167186737","0.4634542167186737","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"214","0.4634542167186737","0.4634542167186737","0.4634542167186737","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"215","0.4634542167186737","0.4634542167186737","0.4634542167186737","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"216","0.4634542167186737","0.4634542167186737","0.4634542167186737","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"217","0.4634542167186737","0.4634542167186737","0.4634542167186737","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"218","0.4634542167186737","0.4634542167186737","0.4634542167186737","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"219","0.4634542167186737","0.4634542167186737","0.4634542167186737","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"220","0.4634542167186737","0.4634542167186737","0.4634542167186737","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"221","0.4634542167186737","0.4634542167186737","0.4634542167186737","0.41315242648124695","0.41315242648124695","0.41315242648124695"
"222","0.491496205329895","0.491496205329895","0.491496205329895","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"223","0.491496205329895","0.491496205329895","0.491496205329895","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"224","0.491496205329895","0.491496205329895","0.491496205329895","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"225","0.491496205329895","0.491496205329895","0.491496205329895","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"226","0.491496205329895","0.491496205329895","0.491496205329895","0.4587588906288147","0.4587588906288147","0.4587588906288147"
"227","0.491496205329895","0.491496205329895","0.491496205329895","0.4587588906288147","0.4587588906288147","0.4587588906288147"
