"Step","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MIN","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MAX","Act. Rate (-1.0) - rollout/ep_rew_mean","Act. Rate (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate (-1.0) - rollout/ep_rew_mean__MAX","Act. Rate Pos (-1.0) - rollout/ep_rew_mean","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MAX"
"101","-2.0748043060302734","-2.0748043060302734","-2.0748043060302734","-1.321568489074707","-1.321568489074707","-1.321568489074707","-1.706544280052185","-1.706544280052185","-1.706544280052185"
"102","-2.0748043060302734","-2.0748043060302734","-2.0748043060302734","-1.321568489074707","-1.321568489074707","-1.321568489074707","-1.706544280052185","-1.706544280052185","-1.706544280052185"
"103","-2.0748043060302734","-2.0748043060302734","-2.0748043060302734","-1.321568489074707","-1.321568489074707","-1.321568489074707","-1.706544280052185","-1.706544280052185","-1.706544280052185"
"104","-2.0748043060302734","-2.0748043060302734","-2.0748043060302734","-1.321568489074707","-1.321568489074707","-1.321568489074707","-1.706544280052185","-1.706544280052185","-1.706544280052185"
"105","-1.5098423957824707","-1.5098423957824707","-1.5098423957824707","-1.1371062994003296","-1.1371062994003296","-1.1371062994003296","-1.1996736526489258","-1.1996736526489258","-1.1996736526489258"
"106","-1.5098423957824707","-1.5098423957824707","-1.5098423957824707","-1.1371062994003296","-1.1371062994003296","-1.1371062994003296","-1.1996736526489258","-1.1996736526489258","-1.1996736526489258"
"107","-1.5098423957824707","-1.5098423957824707","-1.5098423957824707","-1.1371062994003296","-1.1371062994003296","-1.1371062994003296","-1.1996736526489258","-1.1996736526489258","-1.1996736526489258"
"108","-1.5098423957824707","-1.5098423957824707","-1.5098423957824707","-1.1371062994003296","-1.1371062994003296","-1.1371062994003296","-1.1996736526489258","-1.1996736526489258","-1.1996736526489258"
"109","-1.5098423957824707","-1.5098423957824707","-1.5098423957824707","-1.1371062994003296","-1.1371062994003296","-1.1371062994003296","-1.1996736526489258","-1.1996736526489258","-1.1996736526489258"
"110","-1.5098423957824707","-1.5098423957824707","-1.5098423957824707","-1.1371062994003296","-1.1371062994003296","-1.1371062994003296","-1.1996736526489258","-1.1996736526489258","-1.1996736526489258"
"111","-1.5098423957824707","-1.5098423957824707","-1.5098423957824707","-1.1371062994003296","-1.1371062994003296","-1.1371062994003296","-1.1996736526489258","-1.1996736526489258","-1.1996736526489258"
"112","-1.5098423957824707","-1.5098423957824707","-1.5098423957824707","-1.1371062994003296","-1.1371062994003296","-1.1371062994003296","-1.1996736526489258","-1.1996736526489258","-1.1996736526489258"
"113","-1.5098423957824707","-1.5098423957824707","-1.5098423957824707","-1.1371062994003296","-1.1371062994003296","-1.1371062994003296","-1.1996736526489258","-1.1996736526489258","-1.1996736526489258"
"114","-1.5098423957824707","-1.5098423957824707","-1.5098423957824707","-1.1371062994003296","-1.1371062994003296","-1.1371062994003296","-1.1996736526489258","-1.1996736526489258","-1.1996736526489258"
"115","-1.5098423957824707","-1.5098423957824707","-1.5098423957824707","-1.1371062994003296","-1.1371062994003296","-1.1371062994003296","-1.1996736526489258","-1.1996736526489258","-1.1996736526489258"
"116","-1.5098423957824707","-1.5098423957824707","-1.5098423957824707","-1.1371062994003296","-1.1371062994003296","-1.1371062994003296","-1.1996736526489258","-1.1996736526489258","-1.1996736526489258"
"117","-1.22205650806427","-1.22205650806427","-1.22205650806427","-0.8461070656776428","-0.8461070656776428","-0.8461070656776428","-1.0365405082702637","-1.0365405082702637","-1.0365405082702637"
"118","-1.22205650806427","-1.22205650806427","-1.22205650806427","-0.8461070656776428","-0.8461070656776428","-0.8461070656776428","-1.0365405082702637","-1.0365405082702637","-1.0365405082702637"
"119","-1.22205650806427","-1.22205650806427","-1.22205650806427","-0.8461070656776428","-0.8461070656776428","-0.8461070656776428","-1.0365405082702637","-1.0365405082702637","-1.0365405082702637"
"120","-1.22205650806427","-1.22205650806427","-1.22205650806427","-0.8461070656776428","-0.8461070656776428","-0.8461070656776428","-1.0365405082702637","-1.0365405082702637","-1.0365405082702637"
"121","-1.22205650806427","-1.22205650806427","-1.22205650806427","-0.8461070656776428","-0.8461070656776428","-0.8461070656776428","-1.0365405082702637","-1.0365405082702637","-1.0365405082702637"
